id,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5300
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130000
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91000
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320000
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39000
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350000
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130000
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11000
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110000
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540000
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000
612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2900
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80000
727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900
51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110000
838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23000
330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9200
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78000
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320000
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190000
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35000
266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29000
825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14000
853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21000
75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94000
